recipe,ingredient,quantity
Canh Chua Bồn Bồn Vị Thái,Cá hú,300g
Canh Chua Bồn Bồn Vị Thái,Thơm chín,130g
Canh Chua Bồn Bồn Vị Thái,Cà chua,50g
Canh Chua Bồn Bồn Vị Thái,Bồn bồn tươi,300g
Canh Chua Bồn Bồn Vị Thái,Hành tím,30g
Canh Chua Bồn Bồn Vị Thái,Gia vị,"nước mắm, dầu ăn, ớt sừng, ớt hiểm"
Bánh Flan Hạt Chia Matcha,Sữa đặc,120g
Bánh Flan Hạt Chia Matcha,Sữa tươi không đường,300g
Bánh Flan Hạt Chia Matcha,Trứng gà,4 trứng
Bánh Flan Hạt Chia Matcha,Vani,2 ống
Bánh Flan Hạt Chia Matcha,Whipping cream,50g
Bánh Flan Hạt Chia Matcha,Hạt chia,20g
Bánh Flan Hạt Chia Matcha,Cơm dừa dẻo,80g
Bánh Flan Hạt Chia Matcha,Khuôn tròn bánh flan,100ml 8 cái
Bánh Flan Hạt Chia Matcha,Rau nêm,lá húng
Gà Om Táo Đỏ,Gà ta da giòn,500g (1/2 con)
Gà Om Táo Đỏ,Táo đỏ,8 quả
Gà Om Táo Đỏ,Cà rốt,100g 1 củ nhỏ
Gà Om Táo Đỏ,Nấm đông cô tươi,100g
Gà Om Táo Đỏ,Hành lá,1 nhánh
Gà Om Táo Đỏ,Ớt sừng,1 quả
Gà Om Táo Đỏ,Gừng,5 lát
Gà Om Táo Đỏ,Tỏi nguyên tép (hoặc tỏi cô đơn),10 tép
Gà Om Táo Đỏ,Gia vị,"Dầu ăn, tiêu, đường, rượu trắng, nước tương"
Khoai Tây Xào Thịt Bò Phô Mai,Khoai tây,400g
Khoai Tây Xào Thịt Bò Phô Mai,Thịt bò xay,150g
Khoai Tây Xào Thịt Bò Phô Mai,Phô mai Mozzarella,60g
Khoai Tây Xào Thịt Bò Phô Mai,Tương cà Heinz,50g
Khoai Tây Xào Thịt Bò Phô Mai,Tỏi băm,1M
Khoai Tây Xào Thịt Bò Phô Mai,Dầu ăn,5g (1M)
Khoai Tây Xào Thịt Bò Phô Mai,Dầu ô liu,5g (1M)
Khoai Tây Xào Thịt Bò Phô Mai,Bột ngọt,4g
Khoai Tây Xào Thịt Bò Phô Mai,Bơ tươi (Anchor),10g (1 viên)
Khoai Tây Xào Thịt Bò Phô Mai,Ngò tây,1 nhánh
Cà Tím Cuộn Thịt Chiên,Cà tím,100g (1 trái to)
Cà Tím Cuộn Thịt Chiên,Nạc dăm xay,150g
Cà Tím Cuộn Thịt Chiên,Giò sống,50g
Cà Tím Cuộn Thịt Chiên,Củ năng,4 củ
Cà Tím Cuộn Thịt Chiên,Trứng gà luộc,1/2 quả
Cà Tím Cuộn Thịt Chiên,Dưa chuột muối chua,1 quả
Cà Tím Cuộn Thịt Chiên,Bột năng,5g (1m)
Cà Tím Cuộn Thịt Chiên,Hành lá,
Cà Tím Cuộn Thịt Chiên,Gừng băm (,1/2m)
Cà Tím Cuộn Thịt Chiên,Gia vị,"Dầu ăn, nước mắm, muối, tiêu, đường, tương ớt"
Bánh Rán Socola Mứt Xoài,Xoài cát chu vừa chín tới,600g (2 quả nhỏ)
Bánh Rán Socola Mứt Xoài,Nước cốt chanh,1M
Bánh Rán Socola Mứt Xoài,Dâu tây,20g (2 trái)
Bánh Rán Socola Mứt Xoài,Rau nêm,lá húng lúi
Bánh Rán Socola Mứt Xoài,Gia vị,"đường, muối"
Canh Cua Rau Đay,Cua đồng xay,200g
Canh Cua Rau Đay,Rau đay,200g
Canh Cua Rau Đay,Mướp,100g
Canh Cua Rau Đay,Nấm rơm,50g
Canh Cua Rau Đay,Hành tím,20g
Canh Cua Rau Đay,Gạch cua,1M
Canh Cua Rau Đay,Gia vị,dầu ăn
Salad Mực Chiên,Mực ống,300g
Salad Mực Chiên,Bông cải xanh,350g
Salad Mực Chiên,Bông cải trắng,250g
Salad Mực Chiên,Đậu bi đông lạnh,30g
Salad Mực Chiên,Bắp hạt đông lạnh,1 trái
Salad Mực Chiên,Lá quế,2 nhánh
Salad Mực Chiên,Bơ,6g (1m)
Salad Mực Chiên,Gia vị,"Dầu ăn, mù tạt vàng, sữa chua không đường, tiêu, sữa đặc, muối."
Salad Rong Biển Thanh Cua,Xà lách Mỹ,50g
Salad Rong Biển Thanh Cua,Xà lách lolo,50g
Salad Rong Biển Thanh Cua,Cà chua bi,100g
Salad Rong Biển Thanh Cua,Dưa leo,100g
Salad Rong Biển Thanh Cua,Rong biển wakame,3g
Salad Rong Biển Thanh Cua,Thanh cua,4 cây
Salad Rong Biển Thanh Cua,Hạnh nhân lát,10g
Sườn Nướng Mật Ong,Sườn que,700g
Sườn Nướng Mật Ong,Dầu hào,20g
Sườn Nướng Mật Ong,Nước tương,20g
Sườn Nướng Mật Ong,Mật ong,24g
Sườn Nướng Mật Ong,Bột ngọt,5g
Sườn Nướng Mật Ong,Hành băm,20g
Sườn Nướng Mật Ong,Tỏi băm,20g
Sườn Nướng Mật Ong,Sả băm,10g
Sườn Nướng Mật Ong,Dầu điều,5g
Sườn Nướng Mật Ong,Tiêu,0.5g
Salad Trộn Xốt Phô Mai Cay,Trứng luộc,2 quả
Salad Trộn Xốt Phô Mai Cay,Xà lách Iceberg,80g
Salad Trộn Xốt Phô Mai Cay,Xà lách Romaine,40g
Salad Trộn Xốt Phô Mai Cay,Xà lách lolo,40g
Salad Trộn Xốt Phô Mai Cay,Cà chua bi,80g
Salad Trộn Xốt Phô Mai Cay,Dưa leo baby,80g
Salad Gà Nướng Thơm,Má đùi gà rút xương,200g
Salad Gà Nướng Thơm,Thơm,1/4 trái
Salad Gà Nướng Thơm,Xà lách mỡ,100g
Salad Gà Nướng Thơm,Cà chua bi,50g
Salad Gà Nướng Thơm,Bắp Mỹ hạt,20g
Salad Gà Nướng Thơm,Dưa leo,50g
Salad Gà Nướng Thơm,Gia vị,"Nướng tương, dầu ăn, mật ong, tiêu"
Miến Xào Nghêu,Nghêu,2kg
Miến Xào Nghêu,Cải thảo,2 lá
Miến Xào Nghêu,Cà rốt,1/3 củ
Miến Xào Nghêu,Miến đậu xanh,150g
Miến Xào Nghêu,Cần tây,1 bẹ
Miến Xào Nghêu,Hành tây,1/2 củ
Miến Xào Nghêu,Cà chua,1 trái
Miến Xào Nghêu,Đầu hành lá,2 nhánh
Miến Xào Nghêu,Ớt sừng cắt sợi,2M
Miến Xào Nghêu,Hành tím băm,1m
Miến Xào Nghêu,Tỏi băm,1m
Miến Xào Nghêu,Gia vị,"Tiêu, đường, dầu ăn"
Lươn Kho Sả Ớt,Lươn,300g
Lươn Kho Sả Ớt,Nước dừa tươi,50g (1 chén)
Lươn Kho Sả Ớt,Gia vị,"đường, tiêu, nước màu, nước mắm, dầu điều, dầu ăn"
Lươn Kho Sả Ớt,Rau nêm,hành lá cắt khúc
Gà Chiên Xúc Xích Ớt Xiêm,Má đùi gà công nghiệp có xương,400g (4 cái)
Gà Chiên Xúc Xích Ớt Xiêm,Xúc xích hun khói,25g (1/2 cây)
Gà Chiên Xúc Xích Ớt Xiêm,Giò sống,100g
Gà Chiên Xúc Xích Ớt Xiêm,Ớt xiêm xanh,15g
Gà Chiên Xúc Xích Ớt Xiêm,Tiêu xanh,10g
Gà Chiên Xúc Xích Ớt Xiêm,Cà rốt,25g
Gà Chiên Xúc Xích Ớt Xiêm,Gia vị,"Hành tỏi băm, dầu ăn, cải mầm 3 màu, cà chua bi, ớt sợi, tương ớt"
Phở Chay,Bò lát chay,200g
Phở Chay,Tép mỡ chay,100g
Phở Chay,Ham chay,200g
Phở Chay,Boa-ro băm,1 cây
Phở Chay,Cà rốt,50g
Phở Chay,Nấm đông cô tươi,10 tai
Phở Chay,Cải thảo,100g
Phở Chay,Bánh phở,800g
Phở Chay,Bơ tươi,1M
Phở Chay,Súp phở chay,2 viên
Phở Chay,Gia vị,"Muối, đường phèn, gia vị phở chay, dầu ăn"
Pancake Vị Trà Sữa,Whipping cream,100g
Pancake Vị Trà Sữa,Ăn kèm,kẹo đường
Bánh Mì Xíu Mại,Thịt nạc dăm xay,150g
Bánh Mì Xíu Mại,Giò sống,30g
Bánh Mì Xíu Mại,Củ sắn,150g
Bánh Mì Xíu Mại,Trứng gà,1 quả
Bánh Mì Xíu Mại,Cà chua chín đỏ,2 trái
Bánh Mì Xíu Mại,Hành lá,2 nhánh
Bánh Mì Xíu Mại,Ngò rí,2 cây
Bánh Mì Xíu Mại,Hành tây băm,3M
Bánh Mì Xíu Mại,Hành tím phi,1M
Bánh Mì Xíu Mại,Bánh mì,4 ổ trung bình
Bánh Mì Xíu Mại,Bột năng,1M + 1m
Bánh Mì Xíu Mại,Gia vị,"Đường, muối, tiêu, dầu điều, ketchup, bột năng"
Miến Măng Trộn,Gà ta,400g (1/2 con)
Miến Măng Trộn,Miến dong khô,200g
Miến Măng Trộn,Măng khô xé sợi (ngâm thật mềm),200g
Miến Măng Trộn,Hành tím đập giập,5 củ
Miến Măng Trộn,Hành lá,2 nhánh
Miến Măng Trộn,Ngò rí,2 cây
Miến Măng Trộn,Rau răm,
Miến Măng Trộn,Đầu hành và hành tím phi,1 chén nhỏ
Miến Măng Trộn,Tỏi băm,20g
Miến Măng Trộn,Gia vị,"nước mắm 24g, đường 16g"
Miến Măng Trộn,Rau nêm,"Hành ngò, rau răm"
Miến Măng Trộn,Ăn kèm,"giá, rau muống bào"
Canh Bóng Nấu Thả,Bóng bì lợn,40g
Canh Bóng Nấu Thả,Giò sống,200g
Canh Bóng Nấu Thả,Cà rốt,100g
Canh Bóng Nấu Thả,Bông cải trắng,80g
Canh Bóng Nấu Thả,Bông cải xanh,80g
Canh Bóng Nấu Thả,Nấm hương rừng Sapa (loại có xiên),10g
Canh Bóng Nấu Thả,Gia vị,"Muối, đường, nước mắm"
Gỏi Bắp Bò Hoa,Bắp bò hoa,350g (1 cái)
Gỏi Bắp Bò Hoa,"Bắp chuối hột bào, ngâm nước có vắt chanh",100g
Gỏi Bắp Bò Hoa,Mè rang vàng,20g
Gỏi Bắp Bò Hoa,Hành tím bào mỏng,1/2 chén
Gỏi Bắp Bò Hoa,Dừa xiêm,1 trái
Gỏi Bắp Bò Hoa,"Sả bào, sả cây","4 cây sả, 2M sả bào"
Gỏi Bắp Bò Hoa,"Ớt băm, sả băm, tỏi băm mỗi thứ",1/2m
Gỏi Bắp Bò Hoa,Hành tây,1/2 củ
Gỏi Bắp Bò Hoa,Gia vị,"Đường (14g 1M + 1/2m), nước mắm (8g 1M), tương ớt (14g 1M)"
Gỏi Bắp Bò Hoa,Rau nêm,"Rau húng lủi, ớt sừng cắt sợi"
Miến Gà Trộn,Miến,80g
Miến Gà Trộn,Thịt gà luộc,200g
Miến Gà Trộn,Khô bò,50g
Miến Gà Trộn,Bắp cải tím,50g
Miến Gà Trộn,Bắp cải trái tim,50g
Miến Gà Trộn,Dưa leo,50g
Miến Gà Trộn,Cà rốt,50g
Miến Gà Trộn,Mè rang,1M
Miến Gà Trộn,RAU NÊM,Ngò rí
Miến Gà Trộn,Gia vị,Nước
Chả Giò Chiên,Bánh tráng đường kính,12cm 20 cái
Chả Giò Chiên,Tôm thẻ,200g
Chả Giò Chiên,Thịt xay,200g
Chả Giò Chiên,Bún gạo,15g
Chả Giò Chiên,Nấm mèo,15g
Chả Giò Chiên,Hành lá,10g
Chả Giò Chiên,Hành tím băm,10g
Chả Giò Chiên,Tiêu xay,0.5g
Thịt Gà Nướng,Má đùi gà rút xương,500g
Thịt Gà Nướng,Hành băm nhuyễn,10g
Thịt Gà Nướng,Tỏi băm nhuyễn,5g
Thịt Gà Nướng,Dầu hào,5g
Thịt Gà Nướng,Dầu màu điều,6g
Thịt Gà Nướng,Mật ong,6g
Mì Trộn Tôm Trứng Mayonnaise,Tôm sú,100g
Mì Trộn Tôm Trứng Mayonnaise,Trứng gà,2 quả
Mì Trộn Tôm Trứng Mayonnaise,Mì koreno,2 gói
Mì Trộn Tôm Trứng Mayonnaise,Cà rốt,50g
Mì Trộn Tôm Trứng Mayonnaise,Hành tây,50g
Mì Trộn Tôm Trứng Mayonnaise,Cải bó xôi,50g
Mì Trộn Tôm Trứng Mayonnaise,Hành phi,5g
Mì Trộn Tôm Trứng Mayonnaise,Dầu ăn,20g
Mì Trộn Tôm Trứng Mayonnaise,Hành tỏi băm,20g
Salad Gà Nướng,Salad mỡ Đà Lạt,50g
Salad Gà Nướng,Cà chua bi,30g
Salad Gà Nướng,Bắp Mỹ hạt,17g
Salad Gà Nướng,Dưa leo,20g
Salad Gà Nướng,Lá quế,3g
Salad Gà Nướng,Gà nướng topping,
Salad Gà Nướng,Má đùi gà rút xương,300g
Salad Gà Nướng,Gia vị,"Tương ớt, tương cà, mật ong, tiêu xay, hành băm nhuyễn, dầu ăn, tỏi băm nhuyễn"
Salad Mì Udon Cá Hồi Xốt Mè Rang,Mì udon tươi,300g
Salad Mì Udon Cá Hồi Xốt Mè Rang,Xá lách,150g
Salad Mì Udon Cá Hồi Xốt Mè Rang,Cà chua,100g (1 quả)
Salad Mì Udon Cá Hồi Xốt Mè Rang,Cá hồi phile,300g
Salad Mì Udon Cá Hồi Xốt Mè Rang,Bắp mỹ,300g (1 trái)
Salad Mì Udon Cá Hồi Xốt Mè Rang,Hành tây tím,25g (1/4 củ)
Salad Mì Udon Cá Hồi Xốt Mè Rang,Gia vị khác,"Muối, bơ tươi (Anchor), tiêu"
Gỏi Ngó Sen Tôm Thịt,Thịt ba chỉ,150g
Gỏi Ngó Sen Tôm Thịt,Tôm sú,150g
Gỏi Ngó Sen Tôm Thịt,Ngó sen ngòi viết,300g
Gỏi Ngó Sen Tôm Thịt,Cà rốt,50g
Gỏi Ngó Sen Tôm Thịt,Cần tàu,5 nhánh
Gỏi Ngó Sen Tôm Thịt,"Đậu phộng rang, giã dập",20g
Gỏi Ngó Sen Tôm Thịt,Nước cốt chanh,4M
Gỏi Ngó Sen Tôm Thịt,Ăn kèm,bánh phồng tôm
Gỏi Ngó Sen Tôm Thịt,Gia vị,"Tiêu, đường, nước mắm, tương ớt, muối"
Gỏi Gà Giòn,Má đùi gà rút xương,300g
Gỏi Gà Giòn,Hành tây,50g
Gỏi Gà Giòn,Dưa leo,100g
Gỏi Gà Giòn,Bắp cải tím,50g
Gỏi Gà Giòn,Cà rốt,30g
Gỏi Gà Giòn,Lá quế,20g
Gỏi Gà Giòn,Tỏi băm,1m
Gỏi Gà Giòn,Bánh phồng tôm,
Gỏi Gà Giòn,Gia vị,"đường, dầu ăn"
Canh Gà Mọc Viên,Gà ta,1/2 con Chặt miếng vừa ăn (500g)
Canh Gà Mọc Viên,Giò sống,100 g
Canh Gà Mọc Viên,Nấm hương,"5 tai nhỏ (1 tai băm nhuyễn, 4 tai cắt đôi)"
Canh Gà Mọc Viên,Mộc nhĩ,1 tai Ngâm nở cắt nhỏ
Canh Gà Mọc Viên,Cà rốt Cắt nhỏ,1M
Canh Gà Mọc Viên,Đậu phộng luộc,40 g
Canh Gà Mọc Viên,Củ sen cắt miếng,50 g
Canh Gà Mọc Viên,Củ từ cắt lát,50 g
Canh Gà Mọc Viên,Táo đỏ nhỏ (táo tàu),10 trái khô
Canh Gà Mọc Viên,Gia vị,"đường, nước mắm, tiêu"
