name,description,cook_time,level,servings,instructions,image_path
Cá Diêu Hồng Xiên Que Chiên Lá Chanh,,15,Dễ,4,"Ướp cá với 1M nước chanh, 1M nước hành tỏi, 1m lá chanh băm, 1/3m tiêu trong 5′. Tẩm cá qua 1M gia vị nêm sẵn Aji-Quick® Bột Chiên Giòn, xiên vào que xen kẽ với hành tây.
Pha bột còn lại với 130ml nước, nhúng xiên cá vào bột ướt. Đun dầu nóng cho 2M lá chanh cắt sợi vào chiên, tiếp tục xiên cá vào chiên chín vàng đều, đem ra ghim cà bi đứng vào đầu que.
Nước sốt: pha 2M xốt Mayonnaise Aji-mayo®- 1M tương ớt
‘Bày xiên cá chiên ra đĩa, rắc thêm lá chanh chiên. Rưới 1M xốt Mayonnaise Aji-mayo® lên. Ăn kèm xà lách, dưa leo, và nước sốt.",recipe_images/Cá_diêu_hồng_xiên_que_chiên_lá_chanh.jpg
Gà Nướng Nồi Đất,,35,Dễ,4,"Đập dập tiêu xanh, sả, hành tím và ớt hiểm.
Đùi gà rửa sạch, khứa hai bên mặt đùi gà, ướp 1m Hạt nêm Aji-ngon® Heo, 1m đường, 1/4m ngũ vị hương , 1M Nước tương “Phú Sĩ” giảm muối, để thấm.
Chiên vàng 2 mặt đùi gà để riêng, tiếp tục xào xén mặt hành tím, thêm tiêu xanh và ớt vào xào thơm.
Lót sả dưới đáy nồi đất, xếp đùi gà lên trên, cho các thành phần còn lại và lá chanh/lá chúc lên trên cùng, đem nướng ở nhiệt độ 180°C trong 20 phút. Nướng lửa nhỏ trong 10 phút.
Bày gà nướng nồi đất ra bàn dùng kèm cơm. Chấm thêm xốt phô mai cay “Aji xốt”.",recipe_images/Gà_nướng_nồi_đất.jpg
Khoai Tây Lắc Lazy,,15,Dễ,2,"Làm nóng nồi chiên không dầu nhiệt độ 180 trong 10 phút. Khoai tây cho vào khay, xịt thêm 1 ít dầu ăn.
Chiên khoai tây trong nồi chiên không dầu khoảng 15p đến khi khoai chín giòn, rắc 1m gia vị nêm sẵn Aji-Quick® Lẩu Thái lên trên, xóc đều và thưởng thức.
Chấm kèm khoai tây cùng Xốt Phô Mai Cay “Aji-xốt”.
Món ăn ngon đi kèm: Blendy trà đào cam sả",recipe_images/Khoai_tây_lắc_lazy.jpg
Chả Cá Ngũ Sắc,,5,Dễ,2,"– Trộn đều chả cá, cà rốt, hành lá, bắp và ít tiêu, nhào đều cho dai.
– Cho chả cá lên bánh tráng, tạo hình tùy thích.
Đun nóng dầu ăn, cho chả cá vào chiên áp chảo đến khi chín đều.
Xếp chả cá ra dĩa, chấm Xốt phô mai cay “Aji-Xốt”.",recipe_images/Chả_cá_ngũ_sắc.jpg
Cơm Nắm Rong Biển Mayo,,10,Dễ,2,"Cá ngừ tách dầu, đánh tơi. Cà rốt cắt nhỏ.
Cho cơm trắng, cá ngừ ngâm dầu, cà rốt cắt nhỏ, rong biển và 2M xốt Mayonnaise Aji-mayo® Vị Nguyên Bản đảo đều, sau đó vo viên lại.
Cho chà bông và topping Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản lên trên.",recipe_images/Cơm_nắm_rong_biển_Mayo.jpg
Mực Nhúng Giấm,,15,Dễ,4,"Mực làm sạch, để ráo, khứa ca rô mặt trong, cắt miếng vừa ăn khoảng 4cm.
Sả đập dập, cắt khúc. Hành tây cắt sợi. Hành tím cắt lát. Gừng cắt sợi. Tỏi giã nhuyễn. Ngò cắt nhỏ.
Xà lách, rau thơm lặt rửa sạch. Dưa leo cắt khúc. Chuối, khế bào mỏng, ngâm nước có pha chanh.
Pha nước giấm: nấu sôi hỗn hợp gồm 2 chén nước dừa (2 trái), 1/2 chén giấm gạo lên men “Ajinomoto”, 2m muối, 2.5M đường, 1m bột ngọt AJI-NO-MOTO®, hành tây, gừng sợi, hành tím và sả đập dập, nấu sôi.
Pha nước mắm ngò: khuấy tan 3M nước với 2M nước mắm, 1/2M giấm gạo lên men “Ajinomoto”, 1M đường, sau đó cho hỗn hợp giã nhuyễn gồm ớt hiểm xanh 3 trái, cọng ngò rí, ít tỏi vào.
Khi ăn ta nấu sôi nước giấm, nhúng mực vào vừa chín, cuốn bánh tráng và rau dưa, chấm nước mắm ngò.",recipe_images/Mực_nhúng_giấm.jpg
Lẩu Lươn Kèo Nèo Vị Thái,,5,Dễ,4,"Ướp thịt lươn với 1m ớt băm, 1M sả băm, 1M hành tỏi băm, 1M gia vị nêm sẵn Aji-Quick® Lẩu Thái. Chuẩn bị rau ăn lẩu. Cà chua cắt múi cau. Hành tây cắt múi cau. Đậu hũ cắt miếng vuông.
Bắc nồi, đun nóng 2M dầu, phi 1/2 lượng sả cắt khúc, cho lươn xào săn. Trút ra đĩa. Tiếp tục phi thơm sả, cho 1,5 lít nước vào nấu sôi, thêm gói gia vị nêm sẵn Aji-Quick® Lẩu Thái, thêm hành tây, cà chua, vào nấu vừa chín, thêm một ít rau thơm. Múc ra lẩu. Cho phân nửa lượng lươn vào nồi, chừa lại phân nửa để trang trí.
Bày 1 nồi lẩu, cùng với đĩa thịt lươn, đậu hũ, rau, bún. Dọn kèm nước mắm, ớt cắt lát.",recipe_images/Lẩu_lươn_kèo_nèo_vị_thái.jpg
Cá Nướng Chấm Muối Ớt Xanh,,40,Trung bình,4,"Cá khứa vài đường xéo song song trên cá. Cải xanh rửa sạch, cắt bỏ cọng lấy phần lá.
Hành tây cắt mỏng, ngâm nước đá, vớt ra để ráo. Ớt chuông xanh lạng bỏ ruột, ớt sừng đỏ bỏ hột cắt khúc ngắn 3cm.
Giã 3 trái ớt xiêm xanh với ớt sừng cắt khúc, 5 tép tỏi cho nhuyễn, cho vào cá, ướp thêm 1m hạt nêm Aji-ngon®, 1m bột ngọt AJI-NO-MOTO®, 1m dầu điều, 1M tương ớt vào thịt cá để thấm 10 phút.
Pha xốt muối ớt xanh: 1/2M đường, 1/2m muối, 2 trái ớt xiêm xanh còn lại, 1M ớt chuông xanh, 1/2m bột ngọt AJI-NO-MOTO®, 1M nước cốt chanh, 2M sữa đặc xay mịn bằng máy xay.
Bọc cá trong 1 lớp giấy nến để cố định rồi bọc thêm giấy bạc, cho cá vào lò nướng 220 độ, nướng 20 – 25 phút cho cá chín.
Cho cá ra đĩa, trải lá cải xanh ra, cho thịt cá, hành tây, cà rốt ngâm chua vào, cuộn lại, chấm với xốt muối ớt xanh.",recipe_images/Cá_nướng_chấm_muối_ớt_xanh.jpg
Sò Điệp Nướng Ba Màu,,30,Dễ,4,"Sò điệp tách một bên vỏ, làm sạch, bỏ phần rìa đen xung quanh con sò.
Khoai tây, cà rốt, đậu bo luộc chín có ít muối, vớt ra ngâm nước lạnh, để ráo. Hành lá cắt nhỏ.
Phi thơm bơ cùng với đầu hành lá cắt nhỏ, cho 3 loại rau củ vào xào sơ nêm 1/4m muối, 1/3m bột ngọt AJI-NO-MOTO®, 1/2m đường.
Cho rau củ và hành lá lên con sò điệp, rắc thêm hành lá, cho vào lò nướng hoặc nướng trực tiếp trên than khoảng 5 phút thấy nước trong vỏ sò vừa sôi là được.
Cho xốt phô mai cay “Aji-Xốt” lên sò điệp, dùng nóng.",recipe_images/Sò_điệp_nướng_ba_màu.jpg
Mì Xào Bò Rau Củ,,15,Dễ,4,"–  Thịt bò ướp 1m tỏi băm, 1m nước tương “Phú Sĩ”, 1/2m bột ngọt AJI-NO-MOTO®, ít tiêu và ít bột năng để thấm.
–  Mì vàng ngâm nước 5 phút, sau đó trụng sơ, vớt ra để ráo, trộn với ít dầu ăn. Nấm linh chi rửa sạch. Cà rốt cắt sợi. Cải ngọt cắt khúc 5cm. Hành tây cắt múi cau. Bột năng pha loãng.
–  Pha hỗn hợp nước xốt gồm: 1M nước tương “Phú Sĩ”, 1/2m bột ngọt AJI-NO-MOTO®, 1/2m hạt nêm Aji-ngon®, 1/2m đường và 1/2 chén nước.
– Đun thật nóng ít dầu ăn trong chảo, cho mì vào áp chảo, trút ra dĩa để riêng.
– Phi thơm tỏi, xào sơ thịt bò, trút ra dĩa, tiếp tục phi thơm tỏi, xào cà rốt, nấm, hành tây và cải ngọt, thêm nước xào rồi cho thịt bò vào trở lại, cho nước bột năng vào tạo độ sánh, tắt lửa, rắc thêm tiêu.
Cho thịt bò xào lên dĩa mì, trang trí ngò rí. Khi ăn chấm kèm nước tương “Phú Sĩ” và ớt cắt lát.",recipe_images/Mì_xào_bò_rau_củ.jpg
Salad Táo Phô Mai,,20,Dễ,4,"– Pha nước trộn salad: Trộn đều 2M giấm táo lên men “Ajinomoto”, 1M nước, 1.5M đường, 1/3m tiêu và 1/3m muối, thêm 1m dầu mè trắng.
– Táo đỏ cắt miếng vừa ăn, rưới 1M nước trộn salad rồi trộn đều.
– Xà lách các loại rửa sạch, cắt miếng vừa ăn. Dưa leo bỏ ruột cắt lát mỏng. Radish cắt mỏng, ngâm nước, để ráo.
– Bacon áp chảo với 1m dầu ăn, để nguội cắt miếng vừa ăn.
– Chừa ra 2M nước trộn salad và rưới phần còn lại lên rau củ đã để lạnh, trộn đều
– Xếp các loại rau củ ra dĩa, topping bacon lên, rưới 2M nước trộn salad lên trên và trộn đều.",recipe_images/Salad_táo_phô_mai.jpg
Canh Chua Bồn Bồn Vị Thái,,25,Dễ,4,"Ướp cá: Cho 1m gia vị nêm sẵn Aji-Quick® Lẩu Thái và 1m nước mắm và 3 trái ớt hiểm đập giập vào ướp trong 5 phút. Sau đó, sơ chế các nguyên liệu: cắt cà chua thành múi cau, cắt thơm thành dẻ quạt, cắt ớt sừng thành lát, rau nêm cắt rối, bồn bồn cắt khúc, cọng to cắt đôi.
Cho 2M dầu ăn vào nồi, sau đó cho hành tím vào phi thơm. Tiếp theo, cho thơm vào xào một lúc rồi cho tiếp bồn bồn. Sau đó, thêm 1,5 lít nước nóng, lượng gia vị nêm sẵn Aji-Quick® Lẩu Thái còn lại rồi đun sôi. Cho cá hú vào, đun sôi lại và vớt bọt. Nấu thêm 5 phút cho cá chín, thêm cà chua, sau cùng cho ớt sừng và rau nêm vào.
Múc canh ra tô. Chấm cùng nước mắm ớt. Ăn kèm cơm trắng hoặc bún tươi.",recipe_images/Canh_chua_bồn_bồn_vị_thái.jpg
Bánh Flan Hạt Chia Matcha,"Món Bánh flan hạt chia matcha kết hợp hoàn hảo giữa độ mịn mượt của flan, vị thơm béo của sữa, cùng hương matcha thanh mát và hạt chia giòn dẻo lạ miệng.
🍵 Matcha mang đến vị đắng nhẹ, cân bằng với độ ngọt của flan, tạo nên hương vị thanh tao và không bị ngán.
🥛 Flan mềm mịn, tan ngay trong miệng, kết hợp với hạt chia dẻo giòn, giúp món ăn vừa ngon miệng vừa tốt cho sức khỏe.
🍯 Lớp caramel mỏng có vị ngọt dịu, hòa quyện hoàn hảo với vị trà xanh đặc trưng.
Món này rất phù hợp để thưởng thức khi cần một món tráng miệng thanh mát, ít béo nhưng vẫn đầy hấp dẫn. Đặc biệt, hạt chia còn giúp bổ sung dinh dưỡng, làm món bánh càng thêm bổ dưỡng và tốt cho tiêu hóa! 😋",50,Dễ,8,"Ngâm nở hạt chia trong 10 phút.
Cho 80g sữa đặc, 300g sữa tươi không đường và 50g whipping cream vào nồi, khuấy đều rồi đun nóng đến khoảng 70 độ, sau đó để nguội bớt, rồi cho vani vào khuấy đều. Đập trứng vào tô, đánh đều, rồi đổ từ từ hỗn hợp sữa vào trứng. Lọc qua rây để mịn và đổ hỗn hợp trứng sữa vào khuôn.
Xếp khuôn vào khay, thêm nước nóng vào khay và nướng cách thủy trong lò ở 160 độ, sử dụng lửa trên và dưới, trong 35 phút. Sau khi bánh chín, lấy ra và làm lạnh nhanh.
Làm caramel: Cho 100g đường vào nồi nhỏ, đun lửa vừa; không khuấy trong lúc nấu cho đến khi ngả màu caramel; tiếp theo, cho thêm 3M nước vào, lưu ý tắt lửa trước khi cho nước vào. Sau đó, đổ caramen vào từng khuôn.
Đổ bánh flan:
Pha mỗi gói trà Matcha Sữa Blendy® cùng với 5g sữa đặc và 40ml nước nóng và khuấy đều.
Đặt bánh flan đã lạnh vào đĩa sâu lòng. Thêm nước đá xung quanh bánh, sau đó cho hạt chia lên mặt. Tiếp theo, rắc dừa nạo lên trên, rồi rưới trà Matcha Sữa Blendy® đã pha. Cuối cùng, trang trí với lá húng.",recipe_images/Bánh_flan_hạt_chia_matcha.jpg
Gà Om Táo Đỏ,"Món Gà om táo đỏ thơm ngon với sự kết hợp hoàn hảo giữa thịt gà mềm ngọt, vị thanh dịu của táo tàu và hương thơm của nấm đông cô.
🍗 Thịt gà được om chín mềm, thấm đẫm nước sốt đậm đà, không bị khô, vừa béo vừa ngọt.
🍏 Táo tàu mang đến vị ngọt thanh tự nhiên, giúp cân bằng hương vị và tạo độ thơm nhẹ nhàng.
🍄 Nấm đông cô hoàn hảo với sự cân bằng vị ngọt tự nhiên và thêm dinh dưỡng cho món ăn.
Nước om sánh nhẹ, đậm vị, chan với cơm nóng hoặc chấm bánh mì đều ngon tuyệt. Đây là món ăn vừa thơm ngon vừa bồi bổ cơ thể, đặc biệt thích hợp trong những ngày se lạnh hoặc khi bạn muốn bổ sung năng lượng! 😋",45,Dễ,6,"Ứơp thịt gà với 1m hạt nêm Aji-ngon® Heo, 1m đường, 1/2m tiêu, 3M nước Tương “Phú Sĩ”, 1M rượu trắng, để 15 phút.
Cà rốt cắt khúc cạnh 1x2cm, ớt sừng bỏ hạt cắt khúc 2cm. Nấm đông cô rửa sạch, vắt ráo, cắt đôi. Hành lá cắt khúc.
Xào rám mặt tỏi và gừng với dầu, cho thịt gà, táo đỏ, cà rốt vào xào săn lại, thêm nước xăm xắp mặt, om nhỏ lửa đến khi gà gần mềm, cho nấm đông cô vào om đến khi tất cả chín kỹ, nước om sánh lại, kiểm tra vị vừa ăn. Sau cùng cho ớt sừng và hành lá lên mặt.
Dọn ra đĩa và nếm thử.",recipe_images/Gà_om_táo_đỏ.jpg
Khoai Tây Xào Thịt Bò Phô Mai,"Món Khoai tây xào thịt bò phô mai là sự kết hợp hoàn hảo giữa vị bùi béo của khoai tây, độ mềm ngọt của thịt bò và lớp phô mai kéo sợi thơm lừng.
🥔 Khoai tây được xào chín tới, vàng nhẹ bên ngoài nhưng vẫn mềm bên trong, thấm gia vị.
🥩 Thịt bò mềm, không bị dai, được ướp đậm đà, xào vừa chín tới để giữ độ ngọt tự nhiên.
🧀 Phô mai tan chảy, béo ngậy, bám đều lên khoai tây và thịt bò, tạo thành một lớp sánh mịn hấp dẫn.
Khi ăn, bạn sẽ cảm nhận được sự hòa quyện giữa vị béo, mặn, ngọt. Bạn có thể ăn kèm bánh mì hoặc cơm nóng đều rất hợp, đảm bảo đưa cơm và cực kỳ gây nghiện! 😋",25,Dễ,4,"Khoai tây sau khi cắt vuông cờ rửa sạch để ráo, rắc ít muối và trộn đều với 1M dầu ô liu, cho vào nồi chiên không dầu nướng nhiệt độ 160 trong 15p cho khoai chín vàng.
Cho 1M dầu ăn vào chảo, đun nóng rồi phi 1M tỏi vàng thơm. Tiếp theo, cho thịt bò xay vào xào săn cho thịt tơi ra. Cho 50g tương cà và 1/2 chén nước vào xào cho thịt chín mềm.
Nêm nếm gia vị gồm: 1m bột ngọt AJI-NO-MOTO®, 1m hạt nêm Aji-ngon® Heo và 1/4m tiêu. Nước sệt lại, cho hết khoai tây vào xóc chung, cho tiếp 1/2 phô mai và cọng ngò băm vào xóc đều. Cho bơ vào xóc đều rồi tắt lửa.
Cho khoai ra đĩa rắc thêm phô mai lên cùng với lượng ngò tây còn lại lên trên. Dùng nóng.",recipe_images/Khoai_tây_xào_thịt_bò_phô_mai.jpg
Cà Tím Cuộn Thịt Chiên,"Món Cà tím cuộn thịt chiên là một sự kết hợp hài hòa giữa vị béo ngậy của thịt, vị ngọt mềm của cà tím và lớp vỏ giòn rụm hấp dẫn. Khi cắn vào, bạn sẽ cảm nhận được sự giòn tan bên ngoài, sau đó là phần cà tím chín mềm, thấm gia vị, ôm lấy lớp nhân thịt, giò đậm đà bên trong.
Món ăn thơm ngon hơn khi chấm với nước sốt pha mayonnaise kích thích vị giác, đảm bảo đưa cơm và cực kỳ bắt miệng! 😋",35,Dễ,4,"Hành lá: đầu hành đập giập băm nhuyễn, phần lá cắt nhỏ, cho vào tô thịt, thêm giò sống, 1/2m gừng băm, củ năng băm, 1/2m bột ngọt AJI-NO-MOTO®, 1/2m hạt nêm Aji-ngon® Heo, 1/2m đường, 1/4m tiêu, 1/4m muối, 1/2m nước mắm, 1m bột năng, quết đến khi dẻo.
Phết nhân thịt lên từng miếng cà tím, cuộn tròn lại, ghim cố định, cho vào tủ đông làm lạnh.
Gia vị nêm sẵn Aji-Quick® Bột chiên giòn: pha bột theo hướng dẫn trên bao bì.
Nhúng cà tím cuộn thịt vào hỗn hợp gia vị nêm sẵn Aji-Quick® Bột chiên giòn đã pha.
Chiên ngập dầu cà tím với lửa vừa, đến khi vàng giòn. Vớt ra để ráo.
🥣Xốt chấm: Trộn đều 1M xốt Mayonnaise Aji-mayo® Phiên bản ít béo, trứng, dưa chuột muối, 1M tương ớt.
Cho cà tím ra dĩa, ăn kèm nước chấm xốt Mayonnaise Aji-mayo®.",recipe_images/Cà_tím_cuộn_thịt_chiên.jpg
Bánh Rán Socola Mứt Xoài,"🥞 Bánh rán socola mứt xoài là một sự kết hợp đầy hấp dẫn giữa lớp vỏ bánh thơm ngon vị socola và nhân mứt xoài ngọt thơm. Khi cắn vào, lớp vỏ bánh mịn màng socola hòa quyện cùng mứt xoài dẻo mịn, tạo nên một trải nghiệm vị giác vừa ngọt ngào vừa tươi mới. Món bánh rán bé thích mê 😋. Vào bếp làm ngày cùng Món Ngon Mỗi Ngày nhé!",35,Dễ,4,"Xoài gọt vỏ, cắt hạt lựu 7li. Ướp với 2M đường, 1/4m muối. Bắc lên bếp sên khoảng 5 phút cho xoài hơi sệt lại, thêm 1M nước cốt chanh, sên thêm 1 phút.
Đổ bột bánh rán pha sẵn vị Sô-cô-la theo hướng dẫn trên bao bì. Làm các bánh bằng nhau.
Đặt 1 bánh lên đĩa, phết mứt xoài lên, thêm 1 bánh thứ 2 lên, phết 1 ít mứt xoài, trên cùng là 1 ít dâu tươi, 1 lá húng lủi.
Món ăn ngon đi kèm: Dâu tây",recipe_images/Bánh_rán_socola_mứt_xoài.jpg
